,Tool,variable,value
0,CRISPR-Pol-RT,sgRNA_a1,9
1,CRISPR-Pol-RT,sgRNA_a1,1
2,CRISPR-Pol-RT,sgRNA_a1,0
3,CRISPR-λ,sgRNA_a1,12
4,CRISPR-λ,sgRNA_a1,19.5
5,CRISPR-λ,sgRNA_a1,28
6,CRISPR-λ,sgRNA_a1,11.5
7,CRISPR-Pol-Ecoli,sgRNA_a1,0
8,CRISPR-Pol-Ecoli,sgRNA_a1,0
9,CRISPR-Pol-Ecoli,sgRNA_a1,0
10,CRISPR-Pol-RT,sgRNA_b1,0
11,CRISPR-Pol-RT,sgRNA_b1,1
12,CRISPR-Pol-RT,sgRNA_b1,0
13,CRISPR-λ,sgRNA_b1,20
14,CRISPR-λ,sgRNA_b1,7
15,CRISPR-λ,sgRNA_b1,14
16,CRISPR-λ,sgRNA_b1,
17,CRISPR-Pol-Ecoli,sgRNA_b1,0
18,CRISPR-Pol-Ecoli,sgRNA_b1,0
19,CRISPR-Pol-Ecoli,sgRNA_b1,0
